Timestamp,Do you prefer Coke or Pepsi?,How many credit hours are you taking this semester?,Have you declared a minor?,How old are you?,"Prior to taking stat107, have you been in any other coding experience?",How many hours of music do you listen to everyday?,"Do you prefer taking notes on a notebook or on an electronic device (e.g. iPad, laptop)?",Are you living in dorms or apartments?,How many screens do you currently own?
3/8/2023 15:18:47,Coke,14,Yes,20,No,1,Electronic device,Apartments,3
3/8/2023 15:18:47,Pepsi,14,No,22,Yes,1,Electronic device,Dorms,3
3/8/2023 15:18:48,Pepsi,18,Yes,19,No,6,Electronic device,Apartments,3
3/8/2023 15:18:49,Coke,17,No,19,Yes,5,Electronic device,Dorms,3
3/8/2023 15:19:10,Coke,17,No,19,Yes,0,Electronic device,Dorms,4
3/8/2023 15:20:01,Coke,18,No,18,Yes,3,Notebook,Dorms,9
3/8/2023 15:20:03,Coke,18,Yes,18,Yes,3,Electronic device,Dorms,7
3/8/2023 15:21:16,Coke,19,No,20,Yes,3,Electronic device,Apartments,8
3/8/2023 15:21:39,Coke,16,No,19,No,3,Notebook,Dorms,3
3/8/2023 15:21:41,Pepsi,17,Yes,Sophomore,Yes,4,Notebook,Apartments,2
3/8/2023 15:22:09,Coke,16,No,18,Yes,2,Notebook,Dorms,2
3/8/2023 15:22:36,Coke,21,21,18,Yes,2,Notebook,Dorms,3
3/8/2023 15:24:34,Coke,14,Yes,20,Yes,5,Electronic device,Dorms,3
3/8/2023 15:24:59,Coke,16,No,20,No,3,Electronic device,Apartments,4
3/8/2023 15:25:09,Coke,16,No,19,Yes,3,Electronic device,Apartments,3
3/8/2023 15:25:32,Coke,16,Yes,19,Yes,2 hours ,Notebook,Dorms,3
3/8/2023 15:25:34,Coke,16,No,18,Yes,1,Notebook,Dorms,2
3/8/2023 15:26:24,Coke,16,No,19,Yes,7,Electronic device,Dorms,2
3/8/2023 15:26:40,Coke,13,No,22,Yes,5,Electronic device,Apartments,4
3/8/2023 15:27:17,Coke,14,No,19,Yes,6,Notebook,Apartments,3
3/8/2023 15:27:34,Coke,12,No,21,Yes,3,Notebook,Apartments,4
3/8/2023 15:27:47,Coke,17,Yes,20,Yes,0.5,Electronic device,Apartments,2
3/8/2023 15:38:30,Coke,18,Yes,20,Yes,5,Notebook,Apartments,3
3/8/2023 16:16:33,Coke,15,No,19,Yes,2,Notebook,Dorms,3